xcoord,ycoord,status,id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,_source
-,-,U,19426,29apr2008,2008,4,29,1345,April,2008,Motor Vehicle Theft,72113,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,9,0,3225,SCHOOL,3225,SCHOOL,BLUMEYER,,April2008.dta
-,-,U,20213,02may2008,2008,5,2,1930,May,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,4,35,420,S 8TH ST LOUIS,0,S 8TH,BUSCH STADIUM,,May2008.dta
-,-,U,20624,05may2008,2008,5,5,730,May,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,3,20,2700,S 7TH ST,2700,S 7TH,,,May2008.dta
-,-,U,20647,05may2008,2008,5,5,1010,May,2008,Robbery,31422,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,Yes,No,No,1,4,36,137,UNION STATION METROL,0,MARKET,UNION STATION,PASSENGER PICKUP/DROPOFF,May2008.dta
-,-,U,20765,05may2008,2008,5,5,2135,May,2008,Frauds,115200,FRAUD-STEALING BY DECEIT/UNDER $150,Yes,No,No,1,7,48,731,HODIAMONT,0,HODIAMONT,DELMAR METROLINK,@METROLINK - DELMAR,May2008.dta
-,-,U,20776,05may2008,2008,5,5,2250,May,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,7,47,250,DEBALIVIERE,0,DEBALIVIERE,METRO,@FOREST PARK METROLINK,May2008.dta
583710.389400497,1011542.87016893,T,21200,08may2008,2008,5,8,1814,May,2008,Other Assaults,92000,SIMPLE ASSAULT-HARRASSMENT,Yes,No,No,1,4,34,1816,S TUCKER BLVD,1816,S TUCKER,,APT A,May2008.dta
-,-,U,22323,15may2008,2008,5,15,1208,May,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,4,36,137,METROLINK- UNION STA,1414,SPRUCE,UNION STATION PLATFORM,300 S 18TH UNION STATION,May2008.dta
-,-,U,23942,23may2008,2008,5,23,2200,May,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,9,37,3600,SCOTT,3600,SCOTT,ST. LOUIS METROLINK,GRAND METROLINK PLATFORM,May2008.dta
-,-,U,25002,29may2008,2008,5,29,2025,May,2008,Weapons,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,Yes,No,No,1,6,0,4781,DAVISON AVE,4781,DAVISON,,,May2008.dta
-,-,U,25568,30may2008,2008,5,30,1350,June,2008,Aggravated Assault,44013,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",Yes,No,No,1,7,48,731,HODIAMONT,0,HODIAMONT,DELMAR METROLINK WB,WESTBOUND METROLINK LRV# 4002,June2008.dta
-,-,U,25569,30may2008,2008,5,30,1430,June,2008,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,9,29,5600,S SPRING,5600,S SPRING,,,June2008.dta
-,-,U,25860,01jun2008,2008,6,1,2345,June,2008,Robbery,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,Yes,No,No,1,9,38,11,SO. SARAH,0,S SARAH,STREET,,June2008.dta
-,-,U,27034,08jun2008,2008,6,8,600,June,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,7,50,3200,HAMILTON,3200,HAMILTON,,,June2008.dta
-,-,U,28256,14jun2008,2008,6,14,2119,June,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,9,29,1500,MOTARD,1500,MOTARD,,,June2008.dta
-,-,U,28434,16jun2008,2008,6,16,1,June,2008,Aggravated Assault,44013,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",Yes,No,No,1,5,66,2000,E. GRAND ST LOUIS,2000,E GRAND,,,June2008.dta
-,-,U,28474,16jun2008,2008,6,16,645,June,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,4,33,3800,RUTGER LN,3800,RUTGER LN,,,June2008.dta
-,-,U,28475,16jun2008,2008,6,16,645,June,2008,Motor Vehicle Theft,71030,AUTO THEFT-PERM RETNT/JOY RIDE,No,No,Yes,1,4,33,3800,RUTGER LN,3800,RUTGER LN,,,June2008.dta
-,-,U,28806,18jun2008,2008,6,18,255,June,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,6,72,4572,THRUSH AVE,4572,THRUSH,,,June2008.dta
-,-,U,29358,21jun2008,2008,6,21,54,June,2008,Aggravated Assault,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,Yes,No,No,1,5,59,3500,FARRAR ST,3500,FARRAR,,,June2008.dta
-,-,U,29431,21jun2008,2008,6,21,1200,June,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,4,36,321,S 21ST,0,S 21ST,CLUB SOCIETY S,,June2008.dta
-,-,U,30568,28jun2008,2008,6,28,421,June,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,9,77,1235,PAGE,1235,PAGE,,,June2008.dta
-,-,U,30864,29jun2008,2008,6,29,1911,June,2008,Disorderly Conduct,243300,DISORDERLY CONDUCT-OTHR DSTRB/UNNEC NOISE,Yes,No,No,1,5,59,3700,N VANDEVENTER AVE,3700,N VANDEVENTER,,,June2008.dta
-,-,U,32683,08jul2008,2008,7,8,1030,July,2008,Burglary,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,Yes,No,No,1,0,0,6003,DAVISON AVE,6003,DAVISON,,,July2008.dta
-,-,U,37864,02aug2008,2008,8,2,2100,August,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,4,59,2827,EVANS AVE,2827,EVANS,,,August2008.dta
-,-,U,38003,03aug2008,2008,8,3,1500,August,2008,Other Assaults,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",Yes,No,No,1,2,82,10,FOREST PARK,0,FOREST PARK,SOUTH ZOO PARKING LOT,,August2008.dta
-,-,U,38391,05aug2008,2008,8,5,1900,August,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,0,0,2100,WESTBOUND I 70 ST LO,2100,I 70,,,August2008.dta
-,-,U,38865,08aug2008,2008,8,8,300,August,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,5,0,2100,HERBERT AVE CNTY,2100,UNKNOWN,WHITE CASTLE,PARKING LOT,August2008.dta
-,-,U,38982,08aug2008,2008,8,8,1800,August,2008,Other Assaults,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",Yes,No,No,1,6,76,5077,ERA,5077,ERA,,,August2008.dta
-,-,U,40230,15aug2008,2008,8,15,1219,August,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,6,75,11000,RIVERVIEW,0,RIVERVIEW,,CHAIN OF ROCKS BRIDGE,August2008.dta
-,-,U,40631,17aug2008,2008,8,17,1730,August,2008,Robbery,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,Yes,No,No,1,7,0,250,DEBALIVIERE AVE,0,DEBALIVIERE,METRO,@METROLINK - FOREST PARK,August2008.dta
-,-,U,40644,17aug2008,2008,8,17,1900,August,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,0,0,2900,I 55 SOUTHBOUND ST L,2900,I 55,,,August2008.dta
-,-,U,41612,22aug2008,2008,8,22,2335,August,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,7,0,730,ROSEDALE,0,ROSEDALE,,DELMAR METROLINK PARKING LOT,August2008.dta
-,-,U,42091,25aug2008,2008,8,25,1030,August,2008,Narcotics,182130,DRUGS-POSSESSION/HEROIN,Yes,No,No,1,0,0,6715,DAIBER,9999,UNKNOWN,,,August2008.dta
-,-,U,42308,26aug2008,2008,8,26,1500,August,2008,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,8,0,4200,DR. MARTIN LUTHER KI,4200,DR MARTIN L KING,,,August2008.dta
-,-,U,43942,02sep2008,2008,9,2,1606,September,2008,Aggravated Assault,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,Yes,No,No,1,0,0,5343,HAMPTON,5343,HAMPTON,,SNO CONE STAND,September2008.dta
-,-,U,44660,06sep2008,2008,9,6,800,September,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,5,59,2800,N. GARRISON,2800,N GARRISON,,,September2008.dta
-,-,U,46607,15sep2008,2008,9,15,1200,September,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,0,0,5000,I 44 WB,5000,I 44,,,September2008.dta
-,-,U,47503,19sep2008,2008,9,19,1735,September,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,7,0,731,HODIAMONT,0,HODIAMONT,,@DELMAR METROLINK,September2008.dta
579332.414414786,1030027.67758396,T,48215,23sep2008,2008,9,23,1045,September,2008,Narcotics,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,Yes,No,No,1,5,0,3836,NATURAL BRIDGE AVE,3836,NATURAL BRIDGE,BEAUMONT HIGH SCHOOL,BEAUMONT HIGH SCHOOL,September2008.dta
-,-,U,48264,23sep2008,2008,9,23,1633,September,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,0,0,10780,RIVERVIEW STREET,0,RIVERVIEW,,,September2008.dta
-,-,U,48575,25sep2008,2008,9,25,1007,September,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,0,0,428,COLLEGE LINCOLN IL 6,9999,UNKNOWN,,,September2008.dta
-,-,U,49116,27sep2008,2008,9,27,2040,September,2008,Aggravated Assault,43021,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 1ST DEGREE,Yes,No,No,1,0,0,400,I 70 WB,0,I 70,,,September2008.dta
-,-,U,49117,27sep2008,2008,9,27,2040,September,2008,Aggravated Assault,43011,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,Yes,No,No,1,0,0,400,I 70 WB,0,I 70,,,September2008.dta
-,-,U,49118,27sep2008,2008,9,27,2040,September,2008,Aggravated Assault,43011,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,Yes,No,No,1,0,0,400,I 70 WB,0,I 70,,,September2008.dta
-,-,U,49119,27sep2008,2008,9,27,2040,September,2008,Aggravated Assault,43011,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,Yes,No,No,1,0,0,400,I 70 WB,0,I 70,,,September2008.dta
-,-,U,49526,30sep2008,2008,9,30,1000,September,2008,Other Offense,266100,PUBLIC ORDER-DEMONSTRATING,Yes,No,No,1,0,0,3907,JEFFERSON,3907,S JEFFERSON,,,September2008.dta
-,-,U,49542,30sep2008,2008,9,30,1142,September,2008,Aggravated Assault,44012,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",Yes,No,No,1,9,0,200,N WHITTIER ST,0,WHITTIER,,,September2008.dta
-,-,U,49942,01oct2008,2008,10,1,743,October,2008,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,2,6,5502,QUINCY,5502,QUINCY,,,October2008.dta
-,-,U,51157,08oct2008,2008,10,8,1330,October,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,0,0,5400,I 64 WESTBOUND,5400,I 64,ON HIGHWAY,,October2008.dta
-,-,U,51307,09oct2008,2008,10,9,830,October,2008,Other Offense,266100,PUBLIC ORDER-DEMONSTRATING,Yes,No,No,1,7,78,5800,DR. MARTIN LUTHER KI,5800,DR MARTIN L KING,,,October2008.dta
-,-,U,52253,14oct2008,2008,10,14,630,October,2008,Aggravated Assault,41023,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE,Yes,No,No,1,0,0,1100,INTERSTATE 70 WESTBO,1100,I 70,,,October2008.dta
-,-,U,52254,14oct2008,2008,10,14,630,October,2008,Aggravated Assault,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,Yes,No,No,1,0,0,1100,INTERSTATE 70 WESTBO,1100,I 70,,,October2008.dta
-,-,U,52404,15oct2008,2008,10,15,38,October,2008,Narcotics,182400,DRUGS-POSSESSION/MARIJUANA,Yes,No,No,1,0,0,4530,SUBURBAN TRACKS,4530,SUBURBAN TK,,,October2008.dta
-,-,U,52881,17oct2008,2008,10,17,1930,October,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,1,80,3600,CARONDELET DR,3600,CARONDELET PK,,@CARONDELET PARK,October2008.dta
-,-,U,53600,21oct2008,2008,10,21,2201,October,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,7,47,250,DE BALIVIERE,0,DEBALIVIERE,,FOREST PARK METROLINK STATION,October2008.dta
-,-,U,54166,24oct2008,2008,10,24,2315,October,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,No,No,Yes,1,4,35,925,S 39TH ST,0,39TH,,,October2008.dta
-,-,U,54167,24oct2008,2008,10,24,2315,October,2008,Larceny,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,Yes,No,No,1,4,35,925,S 39TH ST,0,39TH,,,October2008.dta
-,-,U,54754,28oct2008,2008,10,28,1600,October,2008,Other Assaults,91123,SIMPLE ASSAULT-CHILD/NO INJURY,Yes,No,No,1,7,78,5600,MINERVA,5600,MINERVA,,,October2008.dta
-,-,U,55592,31oct2008,2008,10,31,2100,November,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,4,35,700,N 3RD,0,N 3RD,,,November2008.dta
-,-,U,55627,01nov2008,2008,11,1,100,November,2008,Liquor Laws,222500,LIQUOR LAWS-FALSE AGE/ID FOR OBTAINING,Yes,No,No,1,4,35,150,MORGAN,0,MORGAN,,,November2008.dta
-,-,U,56071,03nov2008,2008,11,3,1215,November,2008,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,6,71,5942,STRATFORD AVE,5942,STRATFORD,,,November2008.dta
-,-,U,56800,07nov2008,2008,11,7,2200,November,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,4,61,1621,N 21ST,1621,N 21ST,,,November2008.dta
-,-,U,57218,11nov2008,2008,11,11,330,November,2008,Other Assaults,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",Yes,No,No,1,6,70,4514,N NEWSTEAD AVE,4514,N NEWSTEAD,,,November2008.dta
-,-,U,57243,11nov2008,2008,11,11,1045,November,2008,Larceny,64601,"LARCENY-FROM MTR VEH $500 - $24,999",Yes,No,No,1,6,74,9001,HALLS FERRY CIR,9001,HALLS FERRY CR,,,November2008.dta
-,-,U,57714,14nov2008,2008,11,14,800,November,2008,Aggravated Assault,42011,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,Yes,No,No,1,7,52,5200,DR MARTIN LUTHER KIN,5200,DR MARTIN L KING,,,November2008.dta
-,-,U,59004,22nov2008,2008,11,22,700,November,2008,Larceny,69702,LARCENY-ALL OTHER UNDER $500,Yes,No,No,1,2,13,7144,NOTTINGHAM AVE,7144,NOTTINGHAM,,,November2008.dta
-,-,U,59995,28nov2008,2008,11,28,1830,November,2008,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,1,1,8957,WHITSTONE,9999,UNKNOWN,,,November2008.dta
-,-,U,60687,01dec2008,2008,12,1,650,December,2008,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,4,36,1414,SPRUCE,1414,SPRUCE,CIVIC CENTER STATION,TRAIN/BUS PASSENGER PICK-UP,December2008.dta
-,-,U,61303,05dec2008,2008,12,5,630,December,2008,Aggravated Assault,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,Yes,No,No,1,6,73,6000,MIMIKA,6000,MIMIKA,,STREET,December2008.dta
-,-,U,64183,26dec2008,2008,12,26,1930,December,2008,Motor Vehicle Theft,71030,AUTO THEFT-PERM RETNT/JOY RIDE,Yes,No,No,1,0,0,1400,RANDALL,1400,RANDALL,,,December2008.dta
-,-,U,64714,30dec2008,2008,12,30,300,December,2008,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,1,0,3600,TYROLEAN,3600,TYROLEAN,,,December2008.dta
-,-,U,67521,17jan2009,2009,1,17,1200,January,2009,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,0,0,1900,N. 13TH STREET,1900,N 13TH,,VEHICLE WAS PARKED ON THE STREET,January2009.dta
-,-,U,68972,29jan2009,2009,1,29,1918,January,2009,Narcotics,182400,DRUGS-POSSESSION/MARIJUANA,Yes,No,No,1,6,0,3700,FRANCIS ST,3700,FRANCIS,,,January2009.dta
-,-,U,70456,06feb2009,2009,2,6,1806,February,2009,Narcotics,182250,DRUGS-POSSESSION/COCAINE,Yes,No,No,1,0,0,5001,HODIAMONT AVE,5001,HODIAMONT,,,February2009.dta
-,-,U,71181,11feb2009,2009,2,11,1845,February,2009,Larceny,64601,"LARCENY-FROM MTR VEH $500 - $24,999",Yes,No,No,1,4,34,700,LEBANON,0,LEBANON DR,,,February2009.dta
-,-,U,73004,23feb2009,2009,2,23,2115,February,2009,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,3,20,1200,S L K SULLIVAN BLVD,1200,SLK SULLIVAN,STREET,,February2009.dta
-,-,U,73903,24feb2009,2009,2,24,1400,March,2009,Motor Vehicle Theft,71030,AUTO THEFT-PERM RETNT/JOY RIDE,No,No,Yes,1,1,16,3801,BAMBERGER,0,,,PARKED ON THE STREET,March2009.dta
-,-,U,74046,01mar2009,2009,3,1,1317,March,2009,Narcotics,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,Yes,No,No,1,2,7,4700,MACKLIND,0,,,,March2009.dta
-,-,U,74175,02mar2009,2009,3,2,1614,March,2009,Other Assaults,91123,SIMPLE ASSAULT-CHILD/NO INJURY,Yes,No,No,1,7,47,250,DEBALIVIERE,0,,FOREST PARK METROLINK STATION,FOREST PARK METROLINK STATION,March2009.dta
-,-,U,74529,05mar2009,2009,3,5,330,March,2009,Narcotics,182250,DRUGS-POSSESSION/COCAINE,Yes,No,No,1,6,71,5366,LILLIAN,0,,,,March2009.dta
-,-,U,75284,09mar2009,2009,3,9,1210,March,2009,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,4,36,1414,SPRUCE,0,,,SCOTT TRADE CENTER METROLINK STATION,March2009.dta
-,-,U,76032,14mar2009,2009,3,14,1700,March,2009,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,7,51,1325,NO KINGSHIGHWAY,0,NO KINGSHIGHWAY,,,March2009.dta
-,-,U,76395,16mar2009,2009,3,16,2045,March,2009,Aggravated Assault,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,Yes,No,No,1,6,68,83,FAIRGROUND PARK,0,,,@FAIRGROUND PARK,March2009.dta
-,-,U,78291,28mar2009,2009,3,28,1940,March,2009,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,800,COLLINS ALLEY,0,COLLINS,,,March2009.dta
566367.813614063,985164.5894157219,T,78775,07sep2008,2008,9,7,2145,March,2009,Robbery,32111,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,No,No,Yes,1,6,74,8711,BROADWAY,0,BROADWAY,,,March2009.dta
573379.148277428,1003606.57991822,T,78807,29nov2008,2008,11,29,2245,March,2009,Other Offense,263120,OBSTRUCT GOVRN OP-FALSE REPORT,No,No,Yes,1,5,67,3710,GRAND,0,,MOBILE GAS STATION,GAS STATION PUMP #10,March2009.dta
-,-,U,78844,20jan2009,2009,1,20,730,April,2009,Other Assaults,91123,SIMPLE ASSAULT-CHILD/NO INJURY,Yes,No,No,1,4,61,1224,NORHT 14TH STREET,0,4TH,PEABODY SCHOOL,,April2009.dta
-,-,U,78996,28mar2009,2009,3,28,1200,April,2009,Sex Offenses,172100,SEX OFFNS-SODOMY/FORCIBLE,No,No,Yes,1,6,74,1400,SWITZER,0,RUSSELL,,,April2009.dta
-,-,U,79567,04apr2009,2009,4,4,930,April,2009,Other Assaults,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",Yes,No,No,1,1,4,7200,RIVER DES PERES,0,,,ON STREET,April2009.dta
-,-,U,79895,06apr2009,2009,4,6,1345,April,2009,Other Assaults,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",Yes,No,No,1,4,61,1408,MELVIN COLLINS WALKW,0,MELVIN COLLINS WALKW,,,April2009.dta
-,-,U,80030,07apr2009,2009,4,7,1400,April,2009,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,4,36,1414,SPRUCE,0,,CIVIC CENTER,TRAIN/BUS PASSENGER PICK-UP STATION,April2009.dta
-,-,U,80054,07apr2009,2009,4,7,1650,April,2009,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,300,SOUTH 18TH ST,0,SOUTH 18TH,,,April2009.dta
-,-,U,82066,20apr2009,2009,4,20,2300,April,2009,Robbery,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,Yes,No,No,1,1,17,4460,MICHIGAN,0,,MARQUETTE PARK,@MARQUETTE PARK,April2009.dta
-,-,U,82559,23apr2009,2009,4,23,2258,April,2009,Other Assaults,91303,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,Yes,No,No,1,6,75,822,CHAIN OF ROCKS DR,0,CHAIN OF ROCKS,,STREET,April2009.dta
-,-,U,82560,23apr2009,2009,4,23,2258,April,2009,Aggravated Assault,43201,AGG.ASSAULT-OTH DANG WEP/POL OFFC 1ST DEGREE,Yes,No,No,1,6,75,822,CHAIN OF ROCKS DR,0,CHAIN OF ROCKS,,STREET,April2009.dta
-,-,U,82829,25apr2009,2009,4,25,1215,April,2009,Weapons,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,Yes,No,No,1,6,73,8802,GOODFELLOW,0,,,STREET,April2009.dta
-,-,U,83353,28apr2009,2009,4,28,1655,April,2009,Weapons,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,Yes,No,No,1,5,59,3021,ST. LOUIS AVE.,0,ST. LOUIS AVE.,,,April2009.dta
572999.99340748,1000763.14713625,T,83757,31mar2009,2009,3,31,1205,May,2009,Larceny,63701,LARCENY-SHOPLIFT UNDER $500,Yes,No,No,1,5,67,4127,GRAND,0,,,,May2009.dta
573054.368648089,1001735.21715919,T,83796,18apr2009,2009,4,18,510,May,2009,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,No,No,Yes,1,1,16,4000,GRAND,0,BINGHAM,,,May2009.dta
577408.968209088,1049632.62521891,T,83805,20apr2009,2009,4,20,1900,May,2009,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,No,No,Yes,1,6,74,8414,LOWELL LA,0,LOWELL,,,May2009.dta
-,-,U,84304,03may2009,2009,5,3,100,May,2009,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,7,78,5800,M.L. KING DR.,0,M.L. KING,,,May2009.dta
-,-,U,84524,04may2009,2009,5,4,1452,May,2009,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,5,60,2601,WARREN ST,0,,,,May2009.dta
