xcoord,ycoord,objectid_1,id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,_source
906569.805617746,1017219.24811007,29,14485,01apr2008,2008,4,1,1200,4,2008,12,121000,EMBEZZLEMENT-VALUE OVER $150,1,0,0,1,4,0,1114,MARKET ST,1114,MARKET,CASHIER S OFFICE,CIRCUIT CLERK S OFFICE ROOM 103,April2008.dta
890382.392126497,995729.751719072,30,14893,03apr2008,2008,4,3,1342,4,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,0,0,5618,S. GRAND,5618,S GRAND,,,April2008.dta
891595.986155994,1046610.4839469,31,14956,03apr2008,2008,4,3,2110,4,2008,4,42011,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,1,0,0,1,0,0,5933,W. FLORISSANT,5933,W FLORISSANT,,STREET IN FRONT OF BUSINESS,April2008.dta
885245.146823578,1002296.21529216,32,15673,08apr2008,2008,4,8,1130,4,2008,6,67701,LARCENY-FROM BUILDING UNDER $500,1,0,0,1,0,0,4627,RIDGEWOOD AVE,4627,RIDGEWOOD,,,April2008.dta
893828.278935496,1028024.97945132,33,15699,08apr2008,2008,4,8,1600,4,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,8,0,4279,ALDINE,4279,ALDINE,,,April2008.dta
908918.060435664,1021575.94641765,34,16192,11apr2008,2008,4,11,1254,4,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,0,0,812,DICKSON ST,0,DICKSON,COCHRAN GARDEN HOUSING COMPLEX,,April2008.dta
907428.394779827,1022371.11215016,35,16193,11apr2008,2008,4,11,1300,4,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,0,0,1300,CASS,1300,CASS,,,April2008.dta
901782.824378081,1031338.71199707,36,16564,13apr2008,2008,4,13,1500,4,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,5,0,4127,N. GRAND,4127,N GRAND,,,April2008.dta
891359.198899914,1017867.94956857,38,17373,17apr2008,2008,4,17,2100,4,2008,6,64601,"LARCENY-FROM MTR VEH $500 - $24,999",1,0,0,1,0,0,4127,CHOUTEAU,4127,CHOUTEAU,,,April2008.dta
884014.21851116,1002239.89880374,39,17443,18apr2008,2008,4,18,930,4,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,0,0,4701,S. KINGSHIGHWAY,4701,S KINGSHIGHWAY,,,April2008.dta
893228.459597077,1001777.1307004,41,17532,18apr2008,2008,4,18,1815,4,2008,3,31211,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,1,0,0,1,0,0,4000,S. GRAND BLVD,4000,S GRAND,,,April2008.dta
894871.663659744,1041467.51162132,43,18499,23apr2008,2008,4,23,2130,4,2008,4,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1,0,0,1,0,0,5200,W. FLORISSANT,5200,W FLORISSANT,,,April2008.dta
894871.663659744,1041467.51162132,44,18500,23apr2008,2008,4,23,2130,4,2008,4,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1,0,0,1,0,0,5200,W. FLORISSANT,5200,W FLORISSANT,,,April2008.dta
889642.436257329,1024228.55659799,45,18524,23apr2008,2008,4,23,2340,4,2008,15,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,1,0,0,1,9,0,375,NORTH TAYLOR,0,N TAYLOR,,,April2008.dta
911507.764573827,1068555.21728832,46,18725,25apr2008,2008,4,25,700,4,2008,26,266510,PUBLIC ORDER-TRESPASSING,1,0,0,1,0,0,11050,RIVERVIEW DR.,0,RIVERVIEW DR,PIER ST. LOUIS DEVELOPMENT,,April2008.dta
889545.512894746,1032334.95770799,48,19686,03apr2008,2008,4,3,1600,5,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,8,55,2616,N. KINGSHIGHWAY,2616,N KINGSHIGHWAY,,,May2008.dta
890944.292577494,1033019.31985632,50,20303,03may2008,2008,5,3,745,5,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,8,55,4873,ST LOUIS AVE,4873,ST LOUIS,SALAMA MARKET,,May2008.dta
889941.091171827,1021276.42306657,57,23006,19may2008,2008,5,19,53,5,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,9,38,4411,FOREST PARK,4411,FOREST PARK,REAR,,May2008.dta
905991.664713662,1060480.60974991,59,24113,24may2008,2008,5,24,1820,5,2008,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,6,75,10001,RIVERVIEW DR,0,RIVERVIEW DR,,RIVERVIEW PARK,May2008.dta
879348.815440413,1015370.42602032,60,24803,28may2008,2008,5,28,1700,5,2008,7,71040,AUTO THEFT-PERM RETNT/ATTEMPT,1,0,0,1,2,42,6335,MANCHESTER,6335,MANCHESTER,BOB S AUTO SALES,,May2008.dta
894904.308935661,1020190.01152549,62,25220,31may2008,2008,5,31,326,5,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,9,37,3720,LACLEDE,3720,LACLEDE,,,May2008.dta
888446.357284661,1030431.85619924,63,25262,31may2008,2008,5,31,1256,5,2008,7,72113,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,8,0,1506,NO KINGSHIGHWAY,1506,N KINGSHIGHWAY,BP STATION LOT,,May2008.dta
902307.974902578,1032125.83411049,67,26009,02jun2008,2008,6,2,2035,6,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,5,67,4231,N GRAND,4231,N GRAND,JUBILLE COMMUNITY CHURCH,,June2008.dta
910393.740883246,1018288.32504015,68,26815,07jun2008,2008,6,7,230,6,2008,4,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,1,0,0,1,4,35,612,N 2ND ST,0,N 2ND,XES LOUNGE ON THE LANDING,,June2008.dta
881824.589360245,1021308.1506934,70,27311,09jun2008,2008,6,9,1940,6,2008,26,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1,0,0,1,2,82,5595,GRAND DRIVE,5595,GRAND DR,FOREST PARK,FOREST PARK FOREVER,June2008.dta
885296.136879079,1000378.06952216,71,28076,13jun2008,2008,6,13,1830,6,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,1,5,5336,WEST,5336,WEST,,,June2008.dta
887258.220881414,987276.730895489,79,29619,22jun2008,2008,6,22,1730,6,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,1,2,320,DAVIS ST,0,DAVIS,,,June2008.dta
903241.345739245,1030515.06174149,80,30065,25jun2008,2008,6,25,1006,6,2008,26,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1,0,0,1,5,65,4040,N. 23RD,4040,N 23RD,,,June2008.dta
909526.175361164,1063119.02343632,81,30407,27jun2008,2008,6,27,1114,6,2008,6,64601,"LARCENY-FROM MTR VEH $500 - $24,999",1,0,0,1,6,75,10450,RIVERVIEW BLVD,0,RIVERVIEW,CHAIN OF ROCKS BRIDE PARKING LOT,,June2008.dta
905907.597952664,1017104.51900882,84,31100,27may2008,2008,5,27,1128,7,2008,10,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1,0,0,1,4,36,1200,MARKET ST,1200,MARKET,,@CITY HALL,July2008.dta
902680.441349246,1017091.91175057,85,31144,14jun2008,2008,6,14,150,7,2008,4,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,1,0,0,1,4,36,326,S 21ST,0,S 21ST,CLUB SOCIETY,@HEADQUARTERS,July2008.dta
902680.441349246,1017091.91175057,86,31145,14jun2008,2008,6,14,150,7,2008,4,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,1,0,0,1,4,36,326,S 21ST,0,S 21ST,CLUB SOCIETY,@HEADQUARTERS,July2008.dta
881045.466902744,993516.391316406,87,31609,02jul2008,2008,7,2,1056,7,2008,6,67701,LARCENY-FROM BUILDING UNDER $500,1,0,0,1,1,4,4638,PRIMM,4638,PRIMM,,,July2008.dta
887306.316585746,986786.165275574,88,32563,07jul2008,2008,7,7,1700,7,2008,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,1,2,8302,MINNESOTA,8302,MINNESOTA,,,July2008.dta
893351.278577164,1003224.08909258,90,32919,09jul2008,2008,7,9,1630,7,2008,10,101000,FORGERY,1,0,0,1,3,19,3760,S. GRAND,3760,S GRAND,,,July2008.dta
885685.591808829,1005408.16510499,91,34034,15jul2008,2008,7,15,900,7,2008,11,112010,FRAUD-CREDIT DEVICE/OVER $150,1,0,0,1,3,15,3538,S. KINGSHIGHWAY,3538,S KINGSHIGHWAY,,,July2008.dta
881824.589360245,1021308.1506934,92,37137,12apr2008,2008,4,12,900,8,2008,12,121000,EMBEZZLEMENT-VALUE OVER $150,1,0,0,1,2,82,1,GOVERNMENT DR,0,FOREST PK,,ST LOUIS ZOO,August2008.dta
908732.239941161,1017197.36790449,94,37881,02aug2008,2008,8,2,2230,8,2008,26,266510,PUBLIC ORDER-TRESPASSING,1,0,0,1,4,35,101,N. BROADWAY,0,N BROADWAY,CALECOS RESTAURANT & BAR,,August2008.dta
893793.765224997,1005474.99699232,99,39614,12aug2008,2008,8,12,920,8,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,3,25,3430,S.GRAND,3430,S GRAND,,,August2008.dta
894388.71515058,1031113.82530774,106,42386,26aug2008,2008,8,26,2253,8,2008,4,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,1,0,0,1,0,0,2931,N NEWSTEAD,2931,N NEWSTEAD,,,August2008.dta
892609.401123911,1041633.93550107,107,42408,27aug2008,2008,8,27,142,8,2008,4,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1,0,0,1,0,0,5300,EMERSON AVE / THEKLA,5300,EMERSON,,,August2008.dta
887471.996700577,988974.807223737,108,43497,28aug2008,2008,8,28,2300,9,2008,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,1,0,613,COURTOIS ST,0,COURTOIS,,,September2008.dta
889918.837607414,1048657.07696657,110,44145,03sep2008,2008,9,3,1722,9,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,6,0,6324,W FLORISSANT AVE,6324,W FLORISSANT,CLUB LEGIT/ IMPERIAL,REAR ALLEY,September2008.dta
888486.335879244,1020900.19022324,111,44205,03sep2008,2008,9,3,2147,9,2008,26,266510,PUBLIC ORDER-TRESPASSING,1,0,0,1,9,0,300,S. EUCLID,0,S EUCLID,PARKING GARAGE,,September2008.dta
897153.036393579,1001156.79237416,113,45358,09sep2008,2008,9,9,1238,9,2008,3,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1,0,0,1,1,0,4000,IOWA AVE,4000,IOWA,,,September2008.dta
908497.43233991,1018754.44910791,116,47931,21sep2008,2008,9,21,1730,9,2008,6,64601,"LARCENY-FROM MTR VEH $500 - $24,999",1,0,0,1,4,0,701,WASHINGTON,0,WASHINGTON,,@AMERICAS CENTER,September2008.dta
909466.586241495,1021343.5128274,120,48609,25sep2008,2008,9,25,1300,9,2008,7,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,0,0,1400,S. 7TH STREET,1400,S 7TH,,,September2008.dta
907636.925202664,1015063.21141165,121,48649,25sep2008,2008,9,25,1800,9,2008,9,91303,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,1,0,0,1,4,0,618,S 7TH,0,S 7TH,PADDYO S,,September2008.dta
907636.925202664,1015063.21141165,122,48650,25sep2008,2008,9,25,1800,9,2008,9,91113,SIMPLE ASSAULT-ADULT/NO INJURY,1,0,0,1,4,0,618,S 7TH,0,S 7TH,PADDYO S,,September2008.dta
902358.35177033,1018825.58544857,130,51132,08oct2008,2008,10,8,1000,10,2008,18,182250,DRUGS-POSSESSION/COCAINE,1,0,0,1,4,36,2211,MARKET ST,2211,MARKET,HAMPTON INN,,October2008.dta
893386.726340912,1021104.08581282,132,51249,08oct2008,2008,10,8,2145,10,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,9,38,3962,W PINE APT C,3962,PINE,,MULTI FAMILY DWELLING,October2008.dta
889054.068667661,1022767.69239374,134,51652,10oct2008,2008,10,10,2200,10,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,9,38,4522,LINDELL BLVD,4522,LINDELL,,,October2008.dta
896882.298746079,1021333.25727049,140,53883,23oct2008,2008,10,23,1446,10,2008,3,31422,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,1,0,0,1,9,37,500,SO. GRAND,0,S GRAND,,@METROLINK - GRAND,October2008.dta
887170.143301662,993836.2436950729,141,54101,24oct2008,2008,10,24,1700,10,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,1,80,930,HOLLYS HILLS,0,HOLLY HILLS,,CONSTRUCTION SITE,October2008.dta
895725.225272831,1040132.32629957,144,54267,25oct2008,2008,10,25,1600,10,2008,24,242000,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,1,0,0,1,6,71,4930,W.FLORISSANT,4930,W FLORISSANT,,,October2008.dta
877275.949179329,1025796.73456399,146,55198,31oct2008,2008,10,31,100,10,2008,9,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1,0,0,1,0,0,320,N. SKINKER,0,N SKINKER,STREET,,October2008.dta
911189.496181495,1067566.94728324,147,55252,31oct2008,2008,10,31,1307,10,2008,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,6,75,10900,RIVERVIEW,0,RIVERVIEW,,OUTSIDE OF PARKING LOT NEXT TO BRIDG,October2008.dta
902101.387061164,1010920.20952708,148,55410,09oct2008,2008,10,9,1000,11,2008,11,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,1,0,0,1,3,24,1812,ALLEN AVE,1812,ALLEN,,,November2008.dta
908605.220510162,1021685.72178865,152,56210,04nov2008,2008,11,4,1130,11,2008,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,4,64,925,MANHATTAN PL,0,MANHATTAN PL,COCHRAN GARDENS HOUSING COMPLEX,,November2008.dta
904241.459880747,1031156.79011682,156,57516,13nov2008,2008,11,13,4,11,2008,4,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1,0,0,1,5,65,4115,NORTH 20TH,4115,N 20TH,,,November2008.dta
905974.688697744,1011340.24083924,158,57985,16nov2008,2008,11,16,153,11,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,5,66,1551,S 7TH ST,1551,S 7TH,,,November2008.dta
898845.35978058,1023332.82020049,159,58367,18nov2008,2008,11,18,1645,11,2008,6,64601,"LARCENY-FROM MTR VEH $500 - $24,999",1,0,0,1,4,32,3225,RENAISSANCE PLACE,1001,S COMPTON,RENAISSANCE PLACE,,November2008.dta
886762.05717558,1027068.60636407,160,58923,21nov2008,2008,11,21,2147,11,2008,18,182400,DRUGS-POSSESSION/MARIJUANA,1,0,0,1,7,52,5100,KENSINGTON,5100,KENSINGTON,,G890793 IL,November2008.dta
891175.662193496,1047257.39931974,163,60192,29nov2008,2008,11,29,2045,11,2008,3,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1,0,0,1,6,0,6001,W FLORISSANT,9999,UNKNOWN,,PHILLIPS 66,November2008.dta
890217.368506413,1049090.90746374,164,60234,29nov2008,2008,11,29,2300,11,2008,24,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,0,0,1,6,73,5939,GOODFELLOW,5939,GOODFELLOW,,,November2008.dta
907299.502321079,1031481.32260424,165,60397,12oct2008,2008,10,12,1205,12,2008,6,69602,"LARCENY-ALL OTHER $500 - $24,999",1,0,0,1,5,64,121,BREMEN AVE,0,BREMEN,,,December2008.dta
904017.543005746,1013921.46730407,166,60522,25nov2008,2008,11,25,1415,12,2008,3,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1,0,0,1,4,33,1400,CHOUTEAU AVE,1400,CHOUTEAU,,,December2008.dta
903283.594998579,1033172.30314615,167,60563,28nov2008,2008,11,28,1300,12,2008,7,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,5,66,2001,E. GRAND,2001,E GRAND,,@ALEXIAN BROTHERS HOSPITAL,December2008.dta
884732.694764495,1005566.40691449,169,60856,02dec2008,2008,12,2,1000,12,2008,11,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,1,0,0,1,2,14,4955,PERNOD,4955,PERNOD,,,December2008.dta
892739.710902661,1007789.75679849,170,60987,03dec2008,2008,12,3,720,12,2008,5,51111,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED,1,0,0,1,3,15,3734,JUNIATA,3734,JUNIATA,,,December2008.dta
906933.618538413,1018881.69852532,171,61006,03dec2008,2008,12,3,1000,12,2008,11,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,1,0,0,1,4,35,1136,WASHINGTON AVE,1136,WASHINGTON,,,December2008.dta
907538.980188578,1016258.72936182,172,61165,04dec2008,2008,12,4,710,12,2008,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,4,35,100,S 9TH ST,0,S 9TH,,,December2008.dta
893828.294355411,1007322.21475457,173,61180,04dec2008,2008,12,4,929,12,2008,11,112010,FRAUD-CREDIT DEVICE/OVER $150,1,0,0,1,3,25,3182,SOUTH GRAND,3182,S GRAND,,,December2008.dta
893108.572041579,1012992.22047491,176,64596,29dec2008,2008,12,29,1339,12,2008,11,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,1,0,0,1,3,27,3860,SHAW BLVD,3860,SHAW,,,December2008.dta
903552.996362664,1017697.38002782,178,64913,31dec2008,2008,12,31,1614,12,2008,6,63701,LARCENY-SHOPLIFT UNDER $500,1,0,0,1,4,36,1820,MARKET,1820,MARKET,UNION STATION,,December2008.dta
893992.126048744,1032357.18830657,179,65069,01jan2009,2009,1,1,1700,1,2009,6,65701,LARCENY-MTR VEH PARTS UNDER $500,1,0,0,1,8,0,3209,N. TAYLOR,3209,N TAYLOR,,,January2009.dta
908743.272399411,1016082.50005549,180,66765,12jan2009,2009,1,12,715,1,2009,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,0,0,200,SOUTH BROADWAY,0,S BROADWAY,STADIUM EAST PARKING GARAGE,,January2009.dta
908743.272399411,1016082.50005549,181,66767,12jan2009,2009,1,12,745,1,2009,6,64701,LARCENY-FROM MTR VEH UNDER $500,1,0,0,1,4,0,200,SOUTH BROADWAY,0,S BROADWAY,STADIUM EAST PARKING GARAGE,,January2009.dta
906101.852485411,1023553.69279024,182,66929,13jan2009,2009,1,13,1058,1,2009,11,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,1,0,0,1,4,0,1613,N 17TH ST,1613,N 17TH,,,January2009.dta
893538.928136244,1031131.84069166,183,66936,13jan2009,2009,1,13,1159,1,2009,26,266510,PUBLIC ORDER-TRESPASSING,1,0,0,1,0,0,4502,ST. LOUIS AVE,4502,ST LOUIS,,,January2009.dta
910693.861674078,1016905.37636249,184,66961,13jan2009,2009,1,13,1500,1,2009,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,0,0,600,LEONOR K SULLIVAN,0,NLK SULLIVAN,,@ARCH - SOUTH LEG,January2009.dta
906055.714454331,1027316.14950415,185,67228,15jan2009,2009,1,15,1214,1,2009,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,5,0,3202,NORTH 19 ST,3202,19TH,,,January2009.dta
905383.560286827,1025382.36761057,186,67232,15jan2009,2009,1,15,1216,1,2009,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,5,0,2609,NORTH 19 ST,2609,19TH,,,January2009.dta
903552.996362664,1017697.38002782,187,67239,15jan2009,2009,1,15,1400,1,2009,26,266510,PUBLIC ORDER-TRESPASSING,1,0,0,1,4,0,1820,MARKET,1820,MARKET,,@UNION STATION,January2009.dta
908425.038455829,1017299.24663774,188,67282,15jan2009,2009,1,15,1830,1,2009,6,65701,LARCENY-MTR VEH PARTS UNDER $500,1,0,0,1,0,0,604,PINE ST,0,PINE,,,January2009.dta
908425.038455829,1017299.24663774,189,67286,15jan2009,2009,1,15,1857,1,2009,6,65701,LARCENY-MTR VEH PARTS UNDER $500,1,0,0,1,4,0,604,PINE ST,0,PINE,KEINER WEST GARAGE,,January2009.dta
887557.735702328,995349.905365907,191,67856,19jan2009,2009,1,19,1730,1,2009,6,65701,LARCENY-MTR VEH PARTS UNDER $500,1,0,0,1,1,0,3915,FEDERER,3915,FEDERER,,,January2009.dta
896465.827466164,999885.586255156,193,69243,12nov2008,2008,11,12,1000,1,2009,26,264100,HEALTH-SANITATION VIOL,1,0,0,1,0,0,2800,MERAMEC ST,2800,MERAMEC,,,January2009.dta
889819.475929495,1048272.22373366,194,69302,12dec2008,2008,12,12,1500,1,2009,6,67701,LARCENY-FROM BUILDING UNDER $500,1,0,0,1,0,0,5731,GOODFELLOW BLVD,5731,GOODFELLOW,,,January2009.dta
904277.559217997,1019145.78723599,195,69479,31dec2008,2008,12,31,2200,1,2009,14,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,0,0,1,0,0,1800,LOCUST,1800,LOCUST,,PARKING LOT,January2009.dta
907538.980188578,1016258.72936182,196,69500,01jan2009,2009,1,1,800,2,2009,6,65701,LARCENY-MTR VEH PARTS UNDER $500,1,0,0,1,4,35,100,S 9TH ST,0,S 9TH,STADIUM WEST PARKING GARAGE,INTERPARK PARKING GARAGE,February2009.dta
