X,Y,ObjectID,Status,Score,Match_type,Match_addr,Side,Ref_ID,User_fld,Addr_type,ARC_Single,id,dateoccurr,yearoccurr,monthoccur,dayoccurre,timeoccurr,month,year,ucr,crime,descriptio,newcrime,unfounded,adjustment,count,district,neighborho,ileadsaddr,ileadsstre,cadaddress,cadstreet,locationna,locationco,xcoord,ycoord,_source,mergedilea
588500.772651233,1020606.75797764,24,M,100.00000000000,A,1128 N 9TH ST,,72334,,PointAddress,1128 N 9TH,440993,11jan2016,2016,1,11,2240,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,62,1128,N 9TH,,N 9TH,,,0,0,January2016.dta,1128 N 9TH
-1.79769313486232e+308,-1.79769313486232e+308,25,U,0.00000000000,A,,,-1,,,6000 PERSHING AVE,441111,13jan2016,2016,1,13,1,January,2016,Sex Offenses,171300,SEX OFFNS-STATUATORY RAPE/SECOND,Yes,No,No,1,5,46,6000,PERSHING AVE,,PERSHING,,,0,0,January2016.dta,6000 PERSHING AVE
584831.56906198,1018911.78801435,26,M,100.00000000000,A,1600 LOCUST ST,,67674,,PointAddress,1600 LOCUST ST,441118,13jan2016,2016,1,13,200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,36,1600,LOCUST ST,,,,,0,0,January2016.dta,1600 LOCUST ST
-1.79769313486232e+308,-1.79769313486232e+308,27,U,0.00000000000,A,,,-1,,,4900 BARNES JEWISH HOSPITAL PLZ,441126,13jan2016,2016,1,13,730,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,5,38,4900,BARNES JEWISH HOSPITAL PLZ,,,BARNES JEWISH HOSPITAL,,0,0,January2016.dta,4900 BARNES JEWISH HOSPITAL PLZ
-1.79769313486232e+308,-1.79769313486232e+308,28,U,0.00000000000,A,,,-1,,,1562 WELLSTON AVE,441173,13jan2016,2016,1,13,1652,January,2016,Narcotics,182130,DRUGS-POSSESSION/HEROIN,Yes,No,No,1,0,0,1562,WELLSTON AVE,,DR MARTIN LUTHER KING,,,0,0,January2016.dta,1562 WELLSTON AVE
-1.79769313486232e+308,-1.79769313486232e+308,29,U,0.00000000000,A,,,-1,,,5900 CATES AVE,441206,13jan2016,2016,1,13,2110,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,48,5900,CATES AVE,,CATES,,,0,0,January2016.dta,5900 CATES AVE
-1.79769313486232e+308,-1.79769313486232e+308,30,U,0.00000000000,A,,,-1,,,100 N NEWSTEAD AVE,441285,14jan2016,2016,1,14,1400,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,5,38,100,N NEWSTEAD AVE,,WEST PINE,SHAPIROS MARKET,,0,0,January2016.dta,100 N NEWSTEAD AVE
575075.974386349,1012714.64180946,31,M,100.00000000000,A,1700 S GRAND BLVD,,29115,,PointAddress,1700 S GRAND BLVD,441307,14jan2016,2016,1,14,1604,January,2016,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,3,31,1700,S GRAND BLVD,,,,,0,0,January2016.dta,1700 S GRAND BLVD
-1.79769313486232e+308,-1.79769313486232e+308,32,U,0.00000000000,A,,,-1,,,2100 GEYER AVE,441374,15jan2016,2016,1,15,136,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,23,2100,GEYER AVE,,GEYER,,,0,0,January2016.dta,2100 GEYER AVE
577213.127374426,1024356.91899676,33,M,100.00000000000,A,3700 PAGE BLVD,,14791,,PointAddress,3700 PAGE BLVD,441405,15jan2016,2016,1,15,922,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,77,3700,PAGE BLVD,,PAGE,,,0,0,January2016.dta,3700 PAGE BLVD
-1.79769313486232e+308,-1.79769313486232e+308,34,U,0.00000000000,A,,,-1,,,1600 OLIVE ST,441433,15jan2016,2016,1,15,1531,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1600,OLIVE ST,,,,,0,0,January2016.dta,1600 OLIVE ST
-1.79769313486232e+308,-1.79769313486232e+308,35,U,0.00000000000,A,,,-1,,,300 WASHINGTON AVE,441464,15jan2016,2016,1,15,1926,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,300,WASHINGTON AVE,,,,,0,0,January2016.dta,300 WASHINGTON AVE
-1.79769313486232e+308,-1.79769313486232e+308,36,U,0.00000000000,A,,,-1,,,4500 OREGON AVE,441525,16jan2016,2016,1,16,840,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,1,17,4500,OREGON AVE,,OREGON,,,0,0,January2016.dta,4500 OREGON AVE
584345.996995069,1018575.57671157,37,M,100.00000000000,A,201 N 17TH ST,,152306,,PointAddress,201 N 17TH,441693,17jan2016,2016,1,17,1629,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,201,N 17TH,,N 17TH,,,0,0,January2016.dta,201 N 17TH
567193.252498824,1019670.77688519,38,M,90.87000000000,A,700 S KINGSHIGHWAY BLVD,,27412,,PointAddress,700 N KINGSHIGHWAY BLVD,441915,19jan2016,2016,1,19,2034,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,5,38,700,N KINGSHIGHWAY BLVD,,KINGSHIGHWAY,WHITE CASTLE,,0,0,January2016.dta,700 N KINGSHIGHWAY BLVD
-1.79769313486232e+308,-1.79769313486232e+308,39,U,0.00000000000,A,,,-1,,,3100 ALFRED AVE,441926,19jan2016,2016,1,19,2200,January,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,2,15,3100,ALFRED AVE,,,,,0,0,January2016.dta,3100 ALFRED AVE
579478.995327853,1026872.38613,40,M,100.00000000000,A,2546 N GRAND BLVD,,33865,,PointAddress,2546 N. GRAND,442055,21jan2016,2016,1,21,1335,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,2546,N. GRAND,,N. GRAND,UPPER LEVEL LOUNGE,NUISANCE ABATEMENT PROPERTY,0,0,January2016.dta,2546 N. GRAND
-1.79769313486232e+308,-1.79769313486232e+308,41,U,0.00000000000,A,,,-1,,,5900 WATERMAN BLVD,442131,22jan2016,2016,1,22,400,January,2016,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,5,46,5900,WATERMAN BLVD,,WATERMAN,,,0,0,January2016.dta,5900 WATERMAN BLVD
572829.933343917,1001953.211638,42,M,100.00000000000,A,3935 S GRAND BLVD,,30247,,PointAddress,3935 S GRAND,442152,22jan2016,2016,1,22,1000,January,2016,Other Offense,263422,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,Yes,No,No,1,1,16,3935,S GRAND,,S GRAND,,3935-43 S GRAND,0,0,January2016.dta,3935 S GRAND
588249.685279362,1017022.59424683,43,M,100.00000000000,A,600 CHESTNUT ST,,74134,,PointAddress,600 CHESTNUT ST,442167,22jan2016,2016,1,22,1212,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,35,600,CHESTNUT ST,,MARKET,KEINER PLAZA,,0,0,January2016.dta,600 CHESTNUT ST
-1.79769313486232e+308,-1.79769313486232e+308,44,U,0.00000000000,A,,,-1,,,7200 HAZELCREST,442168,22jan2016,2016,1,22,1225,January,2016,Weapons,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,Yes,No,No,1,0,0,7200,HAZELCREST,,,,,0,0,January2016.dta,7200 HAZELCREST
587305.824302744,1018693.39282646,45,M,100.00000000000,A,1000 WASHINGTON AVE,,3866,,PointAddress,1000 WASHINGTON,442194,22jan2016,2016,1,22,1700,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,35,1000,WASHINGTON,,WASHINGTON,,,0,0,January2016.dta,1000 WASHINGTON
576529.637773436,1030408.84691786,46,M,100.00000000000,A,3047 WHITTIER ST,,37835,,PointAddress,3047 WHITTIER ST,442208,22jan2016,2016,1,22,1830,January,2016,Narcotics,182130,DRUGS-POSSESSION/HEROIN,Yes,No,No,1,6,56,3047,WHITTIER ST,,WHITTER,,,0,0,January2016.dta,3047 WHITTIER ST
568372.105880905,1025050.42195755,47,M,90.87000000000,A,400 N EUCLID AVE,,60463,,PointAddress,400 S EUCLID AVE,442292,23jan2016,2016,1,23,1347,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,38,400,S EUCLID AVE,,,CENTRAL WEST END METRO LINK,@METROLINK - CENTRAL WEST END,0,0,January2016.dta,400 S EUCLID AVE
-1.79769313486232e+308,-1.79769313486232e+308,48,U,0.00000000000,A,,,-1,,,100 N 6TH ST,442300,23jan2016,2016,1,23,1645,January,2016,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,4,35,100,N 6TH ST,,6TH,ST. LOUIS BREAD COMPANY,@BREAD COMPANY- 6TH,0,0,January2016.dta,100 N 6TH ST
583378.691807166,1017655.42089848,49,M,100.00000000000,A,1820 MARKET ST,,61525,,PointAddress,1820 MARKET ST,442379,24jan2016,2016,1,24,1230,January,2016,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,Yes,No,No,1,4,36,1820,MARKET ST,,,,@UNION STATION,0,0,January2016.dta,1820 MARKET ST
573020.378254015,1023601.33123985,50,M,89.04000000000,A,4132 WASHINGTON AVE,,5315,,PointAddress,4132 WASHINGTON BLVD,442400,24jan2016,2016,1,24,1650,January,2016,Frauds,115100,FRAUD-STEALING BY DECEIT/OVER $150,Yes,No,No,1,5,38,4132,WASHINGTON BLVD,,WASHINGTON BLVD,,,0,0,January2016.dta,4132 WASHINGTON BLVD
585729.852928322,1010245.68859413,51,M,100.00000000000,A,1800 S BROADWAY,,32113,,PointAddress,1800 S BROADWAY,442496,25jan2016,2016,1,25,1440,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,3,20,1800,S BROADWAY,,BROADWAY,BILLIES DINNER,,0,0,January2016.dta,1800 S BROADWAY
574949.010749001,1020625.69503057,52,M,100.00000000000,A,3700 WEST PINE BLVD,,100113,,PointAddress,3700 WEST PINE BLVD,442557,26jan2016,2016,1,26,10,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,37,3700,WEST PINE BLVD,,WEST PINE,ST LOUIS UNIVERSITY CAMPUS,,0,0,January2016.dta,3700 WEST PINE BLVD
-1.79769313486232e+308,-1.79769313486232e+308,53,U,0.00000000000,A,,,-1,,,1710 LONGFELLOW,442612,26jan2016,2016,1,26,1525,January,2016,Other Offense,263299,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,Yes,No,No,1,3,31,1710,LONGFELLOW,,,,,0,0,January2016.dta,1710 LONGFELLOW
572829.933343917,1001953.211638,54,M,100.00000000000,A,3935 S GRAND BLVD,,30247,,PointAddress,3935 SOUTH GRAND,442683,27jan2016,2016,1,27,1000,January,2016,Other Offense,263422,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,Yes,No,No,1,1,16,3935,SOUTH GRAND,,SOUTH GRAND,,3935-43 S GRAND,0,0,January2016.dta,3935 SOUTH GRAND
575027.735344861,1020113.73621561,55,M,100.00000000000,A,3700 LACLEDE AVE,,51728,,PointAddress,3700 LACLEDE AVE,442772,28jan2016,2016,1,28,135,January,2016,Sex Offenses,178100,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,Yes,No,No,1,4,37,3700,LACLEDE AVE,,LACLEDE,HUMPHREYS,,0,0,January2016.dta,3700 LACLEDE AVE
572829.933343917,1001953.211638,56,M,100.00000000000,A,3935 S GRAND BLVD,,30247,,PointAddress,3935 SOUTH GRAND,442790,28jan2016,2016,1,28,1030,January,2016,Other Offense,263422,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,Yes,No,No,1,1,16,3935,SOUTH GRAND,,SOUTH GRAND,,3935-43 S GRAND,0,0,January2016.dta,3935 SOUTH GRAND
579028.657272596,1026640.07203351,57,M,100.00000000000,A,2501 N GRAND BLVD,,34388,,PointAddress,2501 N GRAND,442810,28jan2016,2016,1,28,1501,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,59,2501,N GRAND,,N GRAND,GRAND U BUY,NUISANCE ABATEMENT PROPERTY,0,0,January2016.dta,2501 N GRAND
-1.79769313486232e+308,-1.79769313486232e+308,58,U,0.00000000000,A,,,-1,,,3500 MONTANA ST,442868,28jan2016,2016,1,28,2245,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,1,16,3500,MONTANA ST,,,DUTCHTOWN NEIGHBORHOOD,SIDEWALK,0,0,January2016.dta,3500 MONTANA ST
-1.79769313486232e+308,-1.79769313486232e+308,59,U,0.00000000000,A,,,-1,,,3700 VISTA AVE,442898,29jan2016,2016,1,29,800,January,2016,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,2,29,3700,VISTA AVE,,VISTA,SLU HOSPITAL WEST PAVALION,4TH FLOOR,0,0,January2016.dta,3700 VISTA AVE
-1.79769313486232e+308,-1.79769313486232e+308,60,U,0.00000000000,A,,,-1,,,1700 LOCUST ST,443002,30jan2016,2016,1,30,1103,January,2016,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,1700,LOCUST ST,,,,,0,0,January2016.dta,1700 LOCUST ST
583378.691807166,1017655.42089848,61,M,100.00000000000,A,1820 MARKET ST,,61525,,PointAddress,1820 MARKET ST,443005,30jan2016,2016,1,30,1130,January,2016,Other Offense,266510,PUBLIC ORDER-TRESPASSING,Yes,No,No,1,4,36,1820,MARKET ST,,,,@UNION STATION,0,0,January2016.dta,1820 MARKET ST
572298.375814687,998814.729220591,62,M,100.00000000000,A,4600 S GRAND BLVD,,29672,,PointAddress,4600 S GRAND BLVD,443009,30jan2016,2016,1,30,1300,January,2016,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,1,16,4600,S GRAND BLVD,,GRAND,,APT 7,0,0,January2016.dta,4600 S GRAND BLVD
584345.996995069,1018575.57671157,63,M,100.00000000000,A,201 N 17TH ST,,152306,,PointAddress,201 N 17TH,443014,30jan2016,2016,1,30,1324,January,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,201,N 17TH,,N 17TH,,,0,0,January2016.dta,201 N 17TH
-1.79769313486232e+308,-1.79769313486232e+308,64,U,0.00000000000,A,,,-1,,,731 HODIAMONT,443144,31jan2016,2016,1,31,1830,January,2016,Aggravated Assault,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,Yes,No,No,1,5,48,731,HODIAMONT,,,METROLINK DELMAR TRAIN PLATFORM,TRAIN PLATFORM,0,0,January2016.dta,731 HODIAMONT
-1.79769313486232e+308,-1.79769313486232e+308,65,U,0.00000000000,A,,,-1,,,5000 CHIPPEWA ST,443536,04jan2016,2016,1,4,200,February,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,2,14,5000,CHIPPEWA ST,,CHIPPEWA,,,0,0,February2016.dta,5000 CHIPPEWA ST
-1.79769313486232e+308,-1.79769313486232e+308,66,U,0.00000000000,A,,,-1,,,4471 LINDELL,443538,06jan2016,2016,1,6,740,February,2016,Motor Vehicle Theft,71040,AUTO THEFT-PERM RETNT/ATTEMPT,Yes,No,No,1,5,38,4471,LINDELL,,LINDELL,,,0,0,February2016.dta,4471 LINDELL
577793.005833924,1006484.00636983,67,M,100.00000000000,A,2727 WYOMING ST,,95954,,PointAddress,2727 WYOMING,443541,07jan2016,2016,1,7,700,February,2016,Burglary,51330,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,No,No,No,1,3,30,2727,WYOMING,,WYOMING,,,0,0,February2016.dta,2727 WYOMING
568567.069959711,995749.887743682,68,M,100.00000000000,A,3757 WILMINGTON AVE,,184978,,PointAddress,3757 WILMINGTON,443577,18jan2016,2016,1,18,1320,February,2016,Motor Vehicle Theft,71030,AUTO THEFT-PERM RETNT/JOY RIDE,No,No,No,1,1,3,3757,WILMINGTON,,WILMINGTON,,,0,0,February2016.dta,3757 WILMINGTON
571050.572081324,1007062.26233966,69,M,100.00000000000,A,3933 HUMPHREY ST,,150551,,PointAddress,3933 HUMPHREY,443586,20jan2016,2016,1,20,1105,February,2016,Burglary,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,Yes,No,No,1,2,15,3933,HUMPHREY,,HUMPHREY,,: #1104384,0,0,February2016.dta,3933 HUMPHREY
573695.066449117,1004455.31889003,70,M,100.00000000000,A,3503 MIAMI ST,,82579,,PointAddress,3503 MIAMI,443643,27jan2016,2016,1,27,138,February,2016,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,No,No,No,1,3,19,3503,MIAMI,,MIAMI,,: APT 1W,0,0,February2016.dta,3503 MIAMI
583955.461768642,1030084.49856941,71,M,100.00000000000,A,3928 N FLORISSANT AVE,,96340,,PointAddress,3928 N FLORISSANT,443648,27jan2016,2016,1,27,1308,February,2016,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,65,3928,N FLORISSANT,,N FLORISSANT,TWIN TWELVE APARTMENTS,NUISANCE ABATEMENT PROPERTY,0,0,February2016.dta,3928 N FLORISSANT
572718.619198013,999486.385347188,72,M,100.00000000000,A,4400 S GRAND BLVD,,29644,,PointAddress,4400 S GRAND BLVD,443728,01feb2016,2016,2,1,200,February,2016,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,1,16,4400,S GRAND BLVD,,GRAND,,,0,0,February2016.dta,4400 S GRAND BLVD
562921.731832989,1035753.94802801,73,M,100.00000000000,A,5900 KENNERLY AVE,,50926,,PointAddress,5900 KENNERLY AVE,443760,01feb2016,2016,2,1,1200,February,2016,Sex Offenses,175500,SEX OFFNS-SX MISCONDUCT/FIRST,Yes,No,No,1,5,50,5900,KENNERLY AVE,,OLIVE,,,0,0,February2016.dta,5900 KENNERLY AVE
568484.78811533,1020438.84449191,74,M,100.00000000000,A,4500 CHILDRENS PL,,234812,,PointAddress,4500 CHILDRENS PL,443956,02feb2016,2016,2,2,2050,February,2016,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,5,38,4500,CHILDRENS PL,,,,@METROLINK - CENTRAL WEST END,0,0,February2016.dta,4500 CHILDRENS PL
